"① 재생에너지",바이오 (MWh),우드칩,자가용,3704,-,-,-,-,-,-,-,-,-,-,-,3704,-,-,-,-,-
"① 재생에너지",바이오 (MWh),목재펠릿,소계,4926845,-,-,-,-,-,-,-,-,-,1267797,-,627000,2709205,-,-,322842,-
"① 재생에너지",바이오 (MWh),목재펠릿,사업용,4926845,-,-,-,-,-,-,-,-,-,1267797,-,627000,2709205,-,-,322842,-
"① 재생에너지",바이오 (MWh),목재펠릿,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),흑액,소계,240950,-,-,-,-,-,-,240950,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),흑액,자가용,240950,-,-,-,-,-,-,240950,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),하수슬러지 고형연료,소계,410193,-,-,-,-,-,-,-,-,-,-,-,299073,-,-,22713,88408,-
"① 재생에너지",바이오 (MWh),하수슬러지 고형연료,사업용,410193,-,-,-,-,-,-,-,-,-,-,-,299073,-,-,22713,88408,-
"① 재생에너지",바이오 (MWh),Bio-SRF,소계,1983916,-,-,-,54639,-,-,-,25790,238056,233882,-,992262,407366,18277,-,10969,2675
"① 재생에너지",바이오 (MWh),Bio-SRF,사업용,1983916,-,-,-,54639,-,-,-,25790,238056,233882,-,992262,407366,18277,-,10969,2675
"① 재생에너지",바이오 (MWh),Bio-SRF,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),바이오중유,소계,1918119,-,-,-,-,-,-,558487,-,-,-,-,-,-,-,-,-,1359632
"① 재생에너지",바이오 (MWh),바이오중유,사업용,1918119,-,-,-,-,-,-,558487,-,-,-,-,-,-,-,-,-,1359632
"① 재생에너지",폐기물 (MWh),소계,소계,439137,45912,43458,5252,8470,5539,533,5330,5053,73072,24791,20610,17261,15911,61831,51907,17263,36946
"① 재생에너지",폐기물 (MWh),사업용,소계,337612,30884,41114,64,8024,5539,-,2284,5053,39576,24276,12374,16455,10446,61831,41695,3844,34154
"① 재생에너지",폐기물 (MWh),자가용,소계,101525,15028,2344,5188,446,-,533,3046,-,33496,515,8236,806,5465,-,10211,13420,2792
"① 재생에너지",폐기물 (MWh),폐가스,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),폐가스,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),폐가스,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),산업폐기물,소계,91821,-,-,-,8024,5539,-,-,3834,33329,-,13407,9675,8420,1544,6000,2049,-
"① 재생에너지",폐기물 (MWh),산업폐기물,사업용,90776,-,-,-,8024,5539,-,-,3834,33317,-,12374,9675,8420,1544,6000,2049,-
"① 재생에너지",폐기물 (MWh),산업폐기물,자가용,1045,-,-,-,-,-,-,-,-,12,-,1033,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),생활폐기물,소계,187677,45912,2344,1801,446,-,-,3046,-,39691,3449,7203,1957,5465,-,24203,15215,36946
"① 재생에너지",폐기물 (MWh),생활폐기물,사업용,91181,30884,-,64,-,-,-,-,-,6207,2934,-,1151,-,-,13992,1795,34154
"① 재생에너지",폐기물 (MWh),생활폐기물,자가용,96496,15028,2344,1737,446,-,-,3046,-,33484,515,7203,806,5465,-,10211,13420,2792
"① 재생에너지",폐기물 (MWh),SRF,소계,159639,-,41114,3451,-,-,533,2284,1219,52,21342,-,5629,2026,60286,21703,-,-
"① 재생에너지",폐기물 (MWh),SRF,사업용,155654,-,41114,-,-,-,-,2284,1219,52,21342,-,5629,2026,60286,21703,-,-
"① 재생에너지",폐기물 (MWh),SRF,자가용,3984,-,-,3451,-,-,533,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),시멘트킬른보조연료,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),시멘트킬른보조연료,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),정제연료유,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),정제연료유,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"② 신에너지",연료전지 (MWh),소계,소계,3522350,341376,184406,7978,953567,3284,8884,13987,39734,1232435,49234,624,458191,8625,168040,32155,19637,191
"② 신에너지",연료전지 (MWh),사업용,소계,3485608,335040,183222,5502,951857,-,7799,11747,39664,1223956,48906,-,456645,8008,166746,27846,18669,-
"② 신에너지",연료전지 (MWh),자가용,소계,36742,6336,1184,2476,1711,3284,1085,2240,70,8479,328,624,1547,617,1294,4309,967,191
"② 신에너지",IGCC (MWh),소계,소계,2377374,-,-,-,-,-,-,-,-,-,-,-,2377374,-,-,-,-,-
"② 신에너지",IGCC (MWh),사업용,소계,2377374,-,-,-,-,-,-,-,-,-,-,-,2377374,-,-,-,-,-
